,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,gap_fill_time,greatest_gap_fill_time
2502,2015-01-13,177.1417,178.3219,174.0088,174.7768,175.6093,195699224,0.8726189330519486,True,1,178.02,True,True,1.544679011874661,04:00:00,04:40:00
2506,2015-01-20,175.649,175.9267,173.7137,175.4407,174.2605,114315445,0.7967956019866771,True,1,176.52,False,True,,00:25:00,02:15:00
2508,2015-01-22,177.0289,178.9988,175.5883,178.8634,176.0656,135999735,0.5471256168155527,True,1,177.91,True,True,1.6659699566525201,00:10:00,00:15:00
2512,2015-01-28,177.1851,177.2892,173.4881,174.6076,176.1437,140353332,0.5912218262702612,True,1,178.07,False,True,,01:05:00,06:15:00
2514,2015-01-30,174.0609,175.4494,172.8112,173.8005,175.2064,162925022,-0.6538003177966093,True,2,173.18,True,True,-1.3670733489187543,04:55:00,05:00:00
2552,2015-03-26,178.6646,179.8937,177.9324,179.0743,179.7455,133145629,-0.6013502424260889,True,2,177.77,False,True,,04:15:00,04:25:00
2618,2015-06-30,181.5484,181.6009,179.814,180.5498,180.4709,145362469,0.5970491641588679,True,1,182.45,False,True,,00:40:00,03:00:00
2621,2015-07-06,180.2432,181.89,180.033,180.6549,181.6184,102693135,-0.7571920025724302,True,2,179.34,False,True,,01:10:00,01:15:00
2648,2015-08-12,181.417,183.1951,179.8841,183.0024,182.6521,160731454,-0.6762035585684416,True,2,180.5,True,True,-1.515449315939976,05:25:00,06:05:00
2657,2015-08-25,171.1859,171.2035,163.8543,167.2765,165.3171,328764118,3.550025980373472,True,1,172.01,False,True,,06:15:00,06:25:00
2658,2015-08-26,168.2515,170.6253,165.0018,169.2851,167.2765,305209621,0.582867288591042,True,1,169.09,True,True,2.0019548472140505,00:10:00,03:10:00
2667,2015-09-09,174.5934,174.7248,170.2399,171.3348,172.5787,131377802,1.167409419586545,True,1,175.46,False,True,,04:00:00,06:25:00
2668,2015-09-10,170.4239,172.7539,170.1523,171.2823,171.3348,135668642,-0.5316491454158747,True,2,169.57,False,True,,01:05:00,04:05:00
2679,2015-09-25,171.3803,171.6973,168.8885,169.8482,170.2004,131131035,0.6932416140032593,True,1,172.23,False,True,,04:55:00,05:40:00
2684,2015-10-02,167.0923,171.6797,166.52,171.0413,168.6772,169111505,-0.9396053527092012,True,2,166.25,False,True,,02:40:00,06:25:00
2721,2015-11-24,183.0293,184.7551,182.6243,184.5086,184.0771,88531657,-0.569218007019882,True,2,182.11,False,True,,02:30:00,05:45:00
2729,2015-12-08,181.8142,183.3982,181.1891,182.1752,183.0733,94161043,-0.6877573081383191,True,2,180.9,False,True,,01:30:00,01:30:00
2735,2015-12-16,181.7042,183.4872,180.3262,183.0998,180.4583,176277309,0.6904088091265281,True,1,182.61,True,True,1.6784487053241623,04:30:00,04:30:00
2749,2016-01-08,172.8874,173.472,169.6899,170.7617,171.736,174288331,0.6704476638561652,True,1,173.75,False,True,,01:45:00,06:25:00
2751,2016-01-12,171.674,172.3206,169.3002,171.1248,169.9379,153016402,1.0216084816865414,True,1,172.52,False,True,,02:05:00,04:50:00
2752,2016-01-13,172.232,172.5951,166.8555,168.1222,171.1248,199276493,0.6470131740110177,True,1,173.09,False,True,,01:00:00,05:10:00
2755,2016-01-19,168.255,168.3879,164.9246,166.6873,166.1647,164453027,1.2579687502820904,True,1,169.09,False,True,,04:35:00,05:15:00
2762,2016-01-28,168.255,168.4676,165.7749,167.6926,166.3108,128355225,1.169016083140719,True,1,169.09,False,True,,00:55:00,01:00:00
2766,2016-02-03,169.5393,169.8671,165.7218,169.0699,168.4439,193324209,0.6503055319901663,True,1,170.38,False,True,,00:20:00,01:05:00
2770,2016-02-09,162.4091,165.5801,162.2674,164.4729,163.4809,168653467,-0.6556117564804183,True,2,161.59,False,True,,00:05:00,05:35:00
2780,2016-02-24,168.8485,171.4171,167.6881,171.1957,170.3985,135492734,-0.9096324204731915,True,2,168.0,True,True,-1.5906243306132513,04:50:00,06:05:00
2788,2016-03-07,176.5632,178.0956,176.4835,177.3516,177.5243,83515430,-0.5413906715869411,True,2,175.68,False,True,,01:10:00,03:40:00
2806,2016-04-01,181.9343,184.4183,181.6049,184.0444,183.1808,90129902,-0.6804752463140228,True,2,181.02,False,True,,01:10:00,06:15:00
2808,2016-04-05,182.2192,183.6386,181.5248,182.1302,183.4657,82823256,-0.679418550715473,True,2,181.3,False,True,,02:05:00,02:05:00
2812,2016-04-11,182.7356,183.4657,181.5426,181.9521,181.7118,72235137,0.5634196568412146,True,1,183.64,False,True,,06:10:00,06:25:00
2825,2016-04-28,185.5935,186.7509,184.258,184.5608,186.6841,83424018,-0.5841954403186961,True,2,184.66,True,True,-1.2995750575437282,01:50:00,02:05:00
2865,2016-06-24,182.2361,188.6943,181.4217,181.7819,187.928,285669512,-3.0287663360435935,True,2,181.3,False,True,,01:45:00,01:45:00
2919,2016-09-12,190.0758,194.0314,190.0042,193.7092,191.8388,154591242,-0.9190007443749676,True,2,189.12,False,True,,02:05:00,06:10:00
2961,2016-11-09,191.0179,195.2724,190.9909,195.0082,192.7449,217871846,-0.8960029552014107,True,2,190.05,False,True,,00:20:00,05:50:00
3042,2017-03-10,215.3057,215.3509,214.0571,214.938,214.2199,64992855,0.506862340986998,True,1,216.38,False,True,,03:35:00,03:35:00
3053,2017-03-27,210.7538,212.5621,210.463,212.2486,212.0532,77507854,-0.6127707575268807,True,2,209.69,False,True,,02:10:00,06:10:00
3160,2017-08-29,221.9447,223.8531,221.826,223.7618,223.2139,45186525,-0.5686025825452553,True,2,220.83,False,True,,01:35:00,05:50:00
3226,2017-12-04,244.3817,244.8313,242.372,243.0832,242.4408,79154971,0.8005665713031797,True,1,245.59,False,True,,06:15:00,06:25:00
3254,2018-01-16,257.6583,258.3408,254.7344,255.8505,256.1041,93784746,0.6068626000130338,True,1,258.94,False,True,,04:25:00,05:15:00
3269,2018-02-06,239.7555,248.7576,238.6118,246.9775,247.5309,314365990,-3.141183585564465,True,2,238.52,False,True,,05:35:00,06:10:00
3272,2018-02-09,240.5487,243.1405,233.2806,239.1928,241.7846,250142002,-0.5111574517152933,True,2,239.34,True,True,-3.517180167802258,06:15:00,06:20:00
3274,2018-02-13,243.4725,245.9168,242.8638,245.5478,245.8799,71711728,-0.9790958919374848,True,2,242.24,False,True,,06:05:00,06:05:00
3275,2018-02-14,243.7861,249.0343,243.7769,248.61,245.5478,101095501,-0.7174570490959359,True,2,242.56,False,True,,00:35:00,06:20:00
3276,2018-02-15,250.4824,251.8106,247.8998,251.2756,248.61,94699780,0.7531475001005586,True,1,251.73,True,True,1.2873979325047182,01:25:00,01:30:00
3280,2018-02-22,250.0489,251.8475,248.7023,249.4217,251.4324,84861560,-0.55024730305243,True,2,248.79,True,True,-1.0858186932153506,01:45:00,02:30:00
3286,2018-03-02,245.1604,248.776,244.2565,247.3095,247.4571,109731464,-0.928120470174421,True,2,243.92,False,True,,03:15:00,06:25:00
3289,2018-03-07,249.4217,251.9674,249.2188,251.4462,251.6814,73757501,-0.8978414773598722,True,2,248.16,False,True,,06:00:00,06:15:00
3302,2018-03-26,242.7437,245.7997,240.2249,244.9477,240.3035,116510938,1.0154658587993832,True,1,243.95,True,True,2.287190989727568,01:50:00,01:50:00
3303,2018-03-27,246.485,247.0406,239.6971,241.2621,244.9477,113076330,0.627603361860518,True,1,247.71,False,True,,01:00:00,06:15:00
3308,2018-04-04,237.7616,244.8042,237.6227,244.1318,241.6093,103581956,-1.5925297577535316,True,2,236.55,False,True,,02:40:00,06:25:00
3313,2018-04-11,243.9846,245.9941,243.9105,244.3458,245.7997,78399485,-0.7384467922458819,True,2,242.76,False,True,,02:30:00,02:40:00
3322,2018-04-24,247.9296,248.1576,241.9566,243.0123,246.6331,102706789,0.525679643162244,True,1,249.16,False,True,,00:50:00,05:05:00
3330,2018-05-04,242.1788,247.0584,241.8362,246.772,243.5494,67469471,-0.5627605734196003,True,2,240.96,False,True,,00:35:00,05:15:00
3343,2018-05-23,251.1152,253.171,250.9485,252.6987,252.6617,51717447,-0.6120832718215736,True,2,249.85,False,True,,04:55:00,06:25:00
3391,2018-08-02,259.889,262.8564,259.6751,262.5401,261.3904,48420767,-0.5743898781286496,True,2,258.58,False,True,,02:05:00,06:15:00
3416,2018-09-07,266.9492,268.5492,266.6981,267.7306,268.3539,58515791,-0.523450562857477,True,2,265.61,False,True,,02:00:00,02:10:00
3441,2018-10-12,258.6173,258.9163,254.5059,257.5849,256.4495,159506544,0.8453126249027585,True,1,259.9,False,True,,02:15:00,03:20:00
3452,2018-10-29,251.1701,252.525,242.8071,245.1151,247.5259,143254852,1.472249974649111,True,1,252.41,True,True,2.0196270370090557,05:00:00,06:15:00
3456,2018-11-02,256.7298,257.1783,251.9083,253.5995,255.2721,103913842,0.5710377279773297,True,1,258.01,False,True,,00:55:00,03:35:00
3464,2018-11-14,256.1785,256.599,250.843,253.7677,254.0667,107909634,0.8311990512727516,True,1,257.45,False,True,,01:30:00,04:35:00
3465,2018-11-15,251.1514,255.5992,249.4977,254.0294,253.7677,118133619,-1.030982272369571,True,2,249.88,True,True,-1.6826412502457886,03:50:00,05:00:00
3478,2018-12-07,251.7868,253.4313,245.4047,246.4233,250.3758,139180479,0.5635528673298303,True,1,253.04,True,True,1.2203655465104835,00:50:00,05:35:00
3480,2018-12-11,250.1048,250.3011,245.2646,248.3481,246.7223,110981000,1.3709745734374321,True,1,251.34,False,True,,02:40:00,04:45:00
3481,2018-12-12,249.9273,251.3569,247.965,249.105,248.3481,84402932,0.6358816516011254,True,1,251.17,True,True,1.2115252744031495,06:25:00,06:25:00
3485,2018-12-18,240.3309,241.0317,236.668,237.9481,237.7145,118496388,1.1006480462908352,True,1,241.52,False,True,,05:10:00,05:55:00
3489,2018-12-26,221.7809,231.2078,219.7038,228.1532,226.8279,190797642,-2.2250349273612273,True,2,220.65,True,True,-3.140751203886294,04:30:00,06:25:00
3492,2018-12-31,234.5537,235.1176,232.5894,233.9992,232.8996,106064353,0.7102201978878451,True,1,235.72,False,True,,01:50:00,02:00:00
3493,2019-01-02,231.189,236.1045,231.1608,234.0462,233.9992,103082858,-1.2009442767325738,True,2,230.02,False,True,,01:20:00,04:25:00
3497,2019-01-08,241.3772,241.8377,238.7267,241.2268,239.4316,90260239,0.8125911533815856,True,1,242.57,False,True,,01:10:00,01:20:00
3499,2019-01-10,240.8508,243.5765,240.1365,242.928,242.6272,87458836,-0.732152042310176,True,2,239.64,False,True,,02:05:00,06:15:00
3504,2019-01-17,244.3754,248.0502,244.3284,246.9788,245.9496,80081656,-0.6400498313475568,True,2,243.15,False,True,,02:15:00,05:15:00
3507,2019-01-23,248.1348,248.8679,244.9863,247.2514,246.1047,75645181,0.8248928200070963,True,1,249.37,False,True,,02:15:00,02:45:00
3523,2019-02-14,257.3174,259.0655,256.4621,258.3512,259.0608,74452823,-0.6729694342022998,True,2,256.02,False,True,,05:35:00,05:35:00
3533,2019-03-01,263.5769,263.9904,262.0543,263.3889,262.1624,63366401,0.5395510569021463,True,1,264.89,False,True,,02:20:00,02:25:00
3538,2019-03-08,256.5279,258.135,256.0391,257.0072,258.0035,74347662,-0.571930225752746,True,2,255.24,False,True,,06:25:00,06:25:00
3545,2019-03-19,267.636,268.4384,265.6536,266.2388,266.2011,74798845,0.5390285765160352,True,1,268.97,False,True,,05:55:00,06:10:00
3547,2019-03-21,264.9267,269.2125,264.8795,268.7121,266.5749,70187024,-0.6182877682782705,True,2,263.59,False,True,,00:25:00,05:35:00
3585,2019-05-15,265.8235,269.7694,265.6064,269.7317,268.1882,61793428,-0.8817315601506595,True,2,264.48,False,True,,01:00:00,06:00:00
3587,2019-05-17,269.1747,272.441,269.1653,270.1848,271.5347,81350238,-0.8691338528740576,True,2,267.82,False,True,,01:20:00,01:35:00
3603,2019-06-11,274.6972,275.0842,272.045,272.5023,272.9884,48119902,0.6259606635300241,True,1,276.06,False,True,,02:05:00,03:30:00
3610,2019-06-20,279.4644,279.7186,276.7131,279.1057,276.9439,85024200,0.9101121201803062,True,1,280.85,False,True,,00:45:00,00:45:00
3642,2019-08-07,269.7819,273.9747,267.5432,273.6617,272.1914,110389529,-0.8852226778656417,True,2,268.42,True,True,-1.707695393756002,04:05:00,06:05:00
3654,2019-08-23,275.9668,277.7122,268.8997,270.389,277.6174,117810288,-0.5945592747428646,True,2,274.58,True,True,-3.140185017221536,01:10:00,01:10:00
3656,2019-08-27,274.6577,275.0466,271.3281,272.1344,272.438,59444288,0.8147541826030102,True,1,276.02,False,True,,02:30:00,03:30:00
3659,2019-08-30,279.0972,279.116,276.4411,277.4561,277.4103,51741934,0.6080884523754093,True,1,280.48,False,True,,01:30:00,01:55:00
3744,2020-01-06,306.9225,310.0253,306.798,309.3166,309.0629,43105385,-0.6925451097495039,True,2,305.38,False,True,,03:35:00,06:25:00
3761,2020-01-30,310.6286,314.0284,309.8434,312.6876,313.4059,67790010,-0.8861671078942575,True,2,309.06,False,True,,06:15:00,06:25:00
3777,2020-02-24,309.4603,319.4414,307.6407,310.0062,319.0369,134914814,-3.0017217444126323,True,2,307.87,True,True,-3.5720632942459076,02:50:00,02:50:00
3783,2020-03-03,296.3977,300.554,284.9728,290.4027,290.556,271529926,2.010524649293081,True,1,297.85,True,True,3.4409890003992314,01:55:00,04:35:00
3788,2020-03-10,272.5901,276.3059,261.9217,271.9102,265.3693,246644123,2.7210381909286405,True,1,273.92,True,True,4.121275520566998,01:50:00,02:05:00
3791,2020-03-13,251.9524,259.6042,239.0144,247.844,240.537,285392181,4.745797943767489,True,1,253.16,True,True,7.926930160432692,02:00:00,02:15:00
3795,2020-03-19,229.1217,236.9075,222.3893,233.7951,222.916,261233795,2.783873746164478,True,1,230.24,True,True,6.276579518742486,00:10:00,00:10:00
3799,2020-03-25,235.8827,246.9414,230.9506,245.2652,232.7423,277138668,1.3493035000513443,True,1,237.05,True,True,6.100781851859326,00:30:00,00:40:00
3800,2020-03-26,240.362,253.1546,239.9093,249.5134,245.2652,221727030,-1.9991421530653344,True,2,239.14,False,True,,00:35:00,06:25:00
3801,2020-03-27,243.9744,251.2377,241.8359,250.1525,249.5134,191462093,-2.2199208539501236,True,2,242.73,True,True,-3.076989051489812,05:40:00,05:55:00
3802,2020-03-30,246.3152,252.7982,244.2249,250.9198,250.1525,139095982,-1.5339842695955463,True,2,245.06,True,True,-2.369594547326136,01:50:00,06:20:00
3804,2020-04-01,238.8786,248.2024,234.9483,236.1235,247.712,170515975,-3.5659959953494313,True,2,237.64,True,True,-5.152636933212763,05:20:00,05:20:00
3809,2020-04-08,258.1252,265.8702,255.8133,264.3192,256.3817,136878928,0.680040736136777,True,1,259.41,True,True,3.7009271722591692,00:35:00,00:35:00
